t; alpha; omega
473; 3.1400000; 0.0000000
474; 3.1400000; 0.0000000
475; 3.1400000; 0.0000000
476; 3.1400000; 0.0000000
477; 3.1400000; 0.0000000
478; 3.1400000; 0.0000000
479; 3.1400000; 0.0000000
480; 3.1400000; 0.0000000
481; 3.1400000; 0.0000000
482; 3.1400000; 0.0000000
483; 3.1400000; 0.0000000
484; 3.1400000; 0.0000000
485; 3.1400000; 0.0000000
486; 3.1400000; 0.0000000
487; 3.1400000; 0.0000000
488; 3.1400000; 0.0000000
489; 3.1400000; 0.0000000
490; 3.1400000; 0.0000000
491; 3.1400000; 0.0000000
492; 3.1400000; 0.0000000
493; 3.1400000; 0.0000000
494; 3.1400000; 0.0000000
495; 3.1400000; 0.0000000
496; 3.1400000; 0.0000000
497; 3.1400000; 0.0000000
498; 3.1400000; 0.0000000
499; 3.1400000; 0.0000000
500; 3.1400000; 0.0000000
501; 3.1400000; 0.0000000
502; 3.1400000; 0.0000000
503; 3.1400000; 0.0000000
504; 3.1400000; 0.0000000
505; 3.1400000; 0.0000000
506; 3.1400000; 0.0000000
507; 3.1400000; 0.0000000
508; 3.1400000; 0.0000000
509; 3.1400000; 0.0000000
510; 3.1400000; 0.0000000
511; 3.1400000; 0.0000000
512; 3.1400000; 0.0000000
513; 3.1400000; 0.0000000
514; 3.1400000; 0.0000000
515; 3.1400000; 0.0000000
516; 3.1400000; 0.0000000
517; 3.1400000; 0.0000000
518; 3.1400000; 0.0000000
519; 3.1400000; 0.0000000
520; 3.1400000; 0.0000000
521; 3.1400000; 0.0000000
522; 3.1400000; 0.0000000
523; 3.1400000; 0.0000000
524; 3.1400000; 0.0000000
525; 3.1400000; 0.0000000
526; 3.1400000; 0.0000000
527; 3.1400000; 0.0000000
528; 3.1400000; 0.0000000
529; 3.1400000; 0.0000000
530; 3.1400000; 0.0000000
531; 3.1400000; -0.0000000
532; 3.1400000; -0.0000000
533; 3.1400000; -0.0000000
534; 3.1400000; -0.0000000
535; 3.1400000; -0.0000000
536; 3.1400000; -0.0000000
537; 3.1400000; -0.0000000
538; 3.1400000; -0.0000000
539; 3.1400000; -0.0000000
540; 3.1400000; -0.0000000
541; 3.1400000; -0.0000000
542; 3.1400000; -0.0000000
543; 3.1400000; -0.0000000
544; 3.1400000; -0.0000000
545; 3.1400000; -0.0000000
546; 3.1400000; -0.0000000
547; 3.1400000; -0.0000000
548; 3.1400000; -0.0000000
549; 3.1400000; -0.0000000
550; 3.1400000; -0.0000000
551; 3.1400000; -0.0000000
552; 3.1400000; -0.0000000
